navn,nveNetbasID,spenning_kV,driftsattaar,eier,lat,lon
S2F GAMLEBYEN SEKUNDÆRSTASJON,,,,NORGESNETT AS,59.20388949602104,10.962867367039122
TRAFO VEST,,,2002,ELVIA AS,60.73602375202266,10.605936753701668
MØKKELAND TRANSFORMATORSTASJON,,,1981,HÅLOGALAND KRAFT NETT AS,68.80912392529187,16.43814516486064
HERADSBYGD TRST,,,1966,ELVIA AS,60.829454466869905,11.602785000917553
TØRKEANLEGG,77602,,1960,TITANIA AS,58.32481693199614,6.358594937574254
VRENGA,79854,,2011,GLITRE ENERGI NETT AS,59.86289132964158,9.384603687477066
AN VÅGATUN,,,1989,LOFOTKRAFT AS,68.242149840923,14.577172512150653
,,,,,58.96618649229618,5.734882549918091
SKRIMSDALEN,80688,,1992,SKAGERAK KRAFT AS,59.1776608203333,7.902714982949484
MÆL,80594,,2015,TINN ENERGI OG FIBER AS,59.92222096770591,8.781237292920018
KOLLTVEIT,77736,,,VEST-TELEMARK KRAFTLAG AS,59.43606833281316,8.57048095799525
,,,,,58.668871062993496,5.644314728518545
HOMMERSTAD TRST,,,1983,ELVIA AS,60.808496696065845,11.333095740676018
VESTBYEN TRSF.ST.,,,1983,ELVIA AS,60.7984111832561,11.060974436689266
KVITUR_MU1,81054,,1986,ODDA ENERGI NETT AS,60.09176415820648,6.549780472448711
GÅSVANN,80547,,1978,HÅLOGALAND KRAFT NETT AS,68.76589100654492,16.324604001297836
SETERSBERG T132KV,85337,,2019,GLITRE ENERGI NETT AS,59.899500140390586,9.888635788211053
IGELAND TRANSFORMATORSTASJON,,,1986,HÅLOGALAND KRAFT NETT AS,68.80370571001467,17.20539488369032
,,,,,58.96787763327768,5.752955305038298
BK GRAVDAL SYKEHUS,,,1964,LOFOTKRAFT AS,68.11996399976212,13.536486559450418
,,,,,58.911473116591914,5.8382923369596424
N01-HVS2,77894,,2016,BULK INFRASTRUCTURE HOLDING AS,58.25664267914195,7.89020782834027
